2.21.Key,00.02.Site Name,00.04.State,00.03.Region,TIPO,STATUS,Prioridade,TITULO,DATA ,OBS,
2023.002757,BGVR06 - BGVR01,RS,TSL,MODERNIZAÇÃO,FEITO,1,BGVR06 - BGVR01 (2023.002757),8/2/2023,"37,5m - 31m",
2023.001363,PPPO01 - PPSH01,PR,TSL,MODERNIZAÇÃO,FEITO,1,PPPO01 - PPSH01 (2023.001363),8/2/2023,33 - 24,
2022.001963,4G-PCUR91 - PCUR17,MG,TLE,NOVO,FEITO,1,4G-PCUR91 - PCUR17 (2022.001963),8/2/2023,38 - 52,
2023.003174,JSMO01 - JSVL01,SC,TSL,MODERNIZAÇÃO,FEITO,2,JSMO01 - JSVL01 (2023.003174),8/3/2023,"34 - 41,6",
2022.000672,4G-MGS200 - IBTUMW02,MG,TLE,VALIDAÇÃO,FEITO,1,4G-MGS200 - IBTUMW02 (2022.000672),8/3/2023,,
2020.005937,GAJU01 - GAJU02,MA,TNO,,FEITO,1,GAJU01 - GAJU02 (2020.005937),8/3/2023,,
2023.002422,4G-PPSG90 - PPSMW01,GO,TCO,,FEITO,2,4G-PPSG90 - PPSMW01 (2023.002422),8/3/2023,,
2021.003013,4S-PRS002 - KOAG01,PR,TSL,,FEITO,1,4S-PRS002 - KOAG01 (2021.003013),8/4/2023,40 - 42,
2023.001648,SR-ADNS03 - CRZMW01,PR,TSL,,FEITO,2,SR-ADNS03 - CRZMW01 (2023.001648),8/4/2023,"37,5 - 47",
2023.001530,SQSQ01 - SQSQ00,CE,TNE,,FEITO,4,SQSQ01 - SQSQ00 (2023.001530),8/4/2023,"36,1 - 30",
2022.002942,BYBY01 - JPCE00,PB,TNE,,FEITO,1,BYBY01 - JPCE00 (2022.002942),8/7/2023,36 - 38,
2022.003507,VSVS03 - VSVS00,PE,TNE,,FEITO,2,VSVS03 - VSVS00 (2022.003507),8/7/2023,"31,5 - 25,5",
2022.000677,4G-NOTE91 - FALIMW01,MG,TLE,,FEITO,3,4G-NOTE91 - FALIMW01 (2022.000677),8/7/2023,,
2023.000466,4G-EKAG01 - AUIMW01,MG,TLE,,FEITO,4,4G-EKAG01 - AUIMW01 (2023.000466),8/7/2023,,
2023.002715,POJQ01 - POCN01,MG,TLE,,MAYARA,1,POJQ01 - POCN01 (2023.002715),8/8/2023,40.5,
2022.003150,PSVH01 - PSVG14,MG,TLE,,FEITO,2,PSVH01 - PSVG14 (2022.003150),8/8/2023,37-28,
